45,65
45,65
10,5
10,6.5
5,12
30,30
-23,33
15.444446,0
-82.767346,-18.944109
-82.767356,-18.944109
-82.767366,-18.944109
-82.767376,-18.944109
-82.767366,-18.944109
-82.767366,-18.944099
-82.767366,-18.944089
-82.767366,-18.944079
-82.767366,-18.944089
-82.767366,-18.944079
-82.767366,-18.944089
-82.767366,-18.944099
-82.767376,-18.944099
-82.767376,-18.944109
-82.767366,-18.944109
-82.767366,-18.944119
-82.767356,-18.944119
-82.767366,-18.944119
-82.767366,-18.944109
-82.767356,-18.944109
-82.767366,-18.944109
-82.767366,-18.944099
-82.767356,-18.944099
-82.767366,-18.944099
-82.767366,-18.944109
-82.767366,-18.944119
-82.767376,-18.944119
-82.767376,-18.944129
-82.767386,-18.944129
-82.767386,-18.944119
-82.767376,-18.944119
-82.767376,-18.944129
